time,target_joint_0_pos,target_joint_0_vel,target_joint_0_acceleration,target_joint_1_pos,target_joint_1_vel,target_joint_1_acceleration,target_joint_2_pos,target_joint_2_vel,target_joint_2_acceleration,target_joint_3_pos,target_joint_3_vel,target_joint_3_acceleration,target_joint_4_pos,target_joint_4_vel,target_joint_4_acceleration,target_joint_5_pos,target_joint_5_vel,target_joint_5_acceleration,
1763636842.851138353,1.012002644,-0.164493407,-0.000000000,-1.772908533,0.197392088,0.000000000,1.996426006,-0.131594725,-0.000000000,-1.906072537,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.853111029,1.011989155,-0.164493407,-0.000000000,-1.772892347,0.197392088,0.000000000,1.996415216,-0.131594725,-0.000000000,-1.906080630,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.855151892,1.011975009,-0.164493407,-0.000000000,-1.772875371,0.197392088,0.000000000,1.996403899,-0.131594725,-0.000000000,-1.906089117,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.857036114,1.011960205,-0.164493407,-0.000000000,-1.772857606,0.197392088,0.000000000,1.996392055,-0.131594725,-0.000000000,-1.906098000,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.859143496,1.011944742,-0.164493407,-0.000000000,-1.772839051,0.197392088,0.000000000,1.996379685,-0.131594725,-0.000000000,-1.906107278,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.861099720,1.011928622,-0.164493407,-0.000000000,-1.772819707,0.197392088,0.000000000,1.996366789,-0.131594725,-0.000000000,-1.906116950,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.863212347,1.011911844,-0.164493407,-0.000000000,-1.772799573,0.197392088,0.000000000,1.996353366,-0.131594725,-0.000000000,-1.906127017,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.865218401,1.011894407,-0.164493407,-0.000000000,-1.772778649,0.197392088,0.000000000,1.996339417,-0.131594725,-0.000000000,-1.906137479,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.867288113,1.011876313,-0.164493407,-0.000000000,-1.772756936,0.197392088,0.000000000,1.996324942,-0.131594725,-0.000000000,-1.906148335,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.869390249,1.011857561,-0.164493407,-0.000000000,-1.772734433,0.197392088,0.000000000,1.996309940,-0.131594725,-0.000000000,-1.906159586,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.871447086,1.011838150,-0.164493407,-0.000000000,-1.772711141,0.197392088,0.000000000,1.996294412,-0.131594725,-0.000000000,-1.906171233,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.873646021,1.011818082,-0.164493407,-0.000000000,-1.772687059,0.197392088,0.000000000,1.996278357,-0.131594725,-0.000000000,-1.906183274,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.875711679,1.011797356,-0.164493407,-0.000000000,-1.772662188,0.197392088,0.000000000,1.996261776,-0.131594725,-0.000000000,-1.906195709,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.877876997,1.011775972,-0.164493407,-0.000000000,-1.772636527,0.197392088,0.000000000,1.996244669,-0.131594725,-0.000000000,-1.906208540,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.880037546,1.011753930,-0.164493407,-0.000000000,-1.772610076,0.197392088,0.000000000,1.996227035,-0.131594725,-0.000000000,-1.906221765,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.882008553,1.011731230,-0.164493407,-0.000000000,-1.772582836,0.197392088,0.000000000,1.996208875,-0.131594725,-0.000000000,-1.906235385,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.884034157,1.011707872,-0.164493407,-0.000000000,-1.772554807,0.197392088,0.000000000,1.996190189,-0.131594725,-0.000000000,-1.906249400,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.886303902,1.011683856,-0.164493407,-0.000000000,-1.772525987,0.197392088,0.000000000,1.996170976,-0.131594725,-0.000000000,-1.906263809,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.888035536,1.011659182,-0.164493407,-0.000000000,-1.772496379,0.197392088,0.000000000,1.996151237,-0.131594725,-0.000000000,-1.906278614,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.890146494,1.011633850,-0.164493407,-0.000000000,-1.772465980,0.197392088,0.000000000,1.996130971,-0.131594725,-0.000000000,-1.906293813,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.892055511,1.011607860,-0.164493407,-0.000000000,-1.772434792,0.197392088,0.000000000,1.996110179,-0.131594725,-0.000000000,-1.906309407,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.894173384,1.011581212,-0.164493407,-0.000000000,-1.772402815,0.197392088,0.000000000,1.996088861,-0.131594725,-0.000000000,-1.906325396,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.896148205,1.011553906,-0.164493407,-0.000000000,-1.772370048,0.197392088,0.000000000,1.996067016,-0.131594725,-0.000000000,-1.906341779,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.898217440,1.011525942,-0.164493407,-0.000000000,-1.772336491,0.197392088,0.000000000,1.996044645,-0.131594725,-0.000000000,-1.906358558,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.900264025,1.011497320,-0.164493407,-0.000000000,-1.772302145,0.197392088,0.000000000,1.996021747,-0.131594725,-0.000000000,-1.906375731,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.902362585,1.011468040,-0.164493407,-0.000000000,-1.772267009,0.197392088,0.000000000,1.995998324,-0.131594725,-0.000000000,-1.906393299,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.904744387,1.011438102,-0.164493407,-0.000000000,-1.772231084,0.197392088,0.000000000,1.995974373,-0.131594725,-0.000000000,-1.906411261,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
