time,human_keypoint_0_x,human_keypoint_0_y,human_keypoint_0_z,human_keypoint_1_x,human_keypoint_1_y,human_keypoint_1_z,human_keypoint_2_x,human_keypoint_2_y,human_keypoint_2_z,human_keypoint_3_x,human_keypoint_3_y,human_keypoint_3_z,human_keypoint_4_x,human_keypoint_4_y,human_keypoint_4_z,human_keypoint_5_x,human_keypoint_5_y,human_keypoint_5_z,human_keypoint_6_x,human_keypoint_6_y,human_keypoint_6_z,human_keypoint_7_x,human_keypoint_7_y,human_keypoint_7_z,human_keypoint_8_x,human_keypoint_8_y,human_keypoint_8_z,human_keypoint_9_x,human_keypoint_9_y,human_keypoint_9_z,human_keypoint_10_x,human_keypoint_10_y,human_keypoint_10_z,human_keypoint_11_x,human_keypoint_11_y,human_keypoint_11_z,human_keypoint_12_x,human_keypoint_12_y,human_keypoint_12_z,human_keypoint_13_x,human_keypoint_13_y,human_keypoint_13_z,human_keypoint_14_x,human_keypoint_14_y,human_keypoint_14_z,human_keypoint_15_x,human_keypoint_15_y,human_keypoint_15_z,human_keypoint_16_x,human_keypoint_16_y,human_keypoint_16_z,human_keypoint_17_x,human_keypoint_17_y,human_keypoint_17_z,human_keypoint_18_x,human_keypoint_18_y,human_keypoint_18_z,human_keypoint_19_x,human_keypoint_19_y,human_keypoint_19_z,
1763636844.434951782,0.820692372,-0.130249334,1.648402523,0.732224802,-0.141017793,0.648479526,0.758362366,-0.095312165,0.266892995,0.752062095,-0.369658903,1.092551420,0.754688086,-0.384954201,0.659477572,0.756744089,-0.398552297,0.274521306,0.865442433,-0.124795495,1.678922252,0.827979625,-0.178094951,1.673332045,0.977539293,-0.129133085,1.670153099,0.871394472,-0.280148310,1.654314394,0.108000000,-0.883000000,2.351000000,0.871736994,-0.251368148,1.533831237,0.108000000,-0.883000000,2.351000000,0.872414122,-0.060424628,1.520360531,0.716608143,0.029151845,1.302737932,0.489063555,0.091156709,1.168469426,0.871059821,-0.442311628,1.547301942,0.735115342,-0.435360920,1.300056848,0.497061927,-0.411662363,1.171925556,0.751419944,-0.195517484,1.077962164,
1763636844.437051058,0.820682419,-0.130302062,1.648361367,0.732086320,-0.140956328,0.648500905,0.758146949,-0.095233797,0.266910017,0.751962840,-0.369626402,1.092554401,0.754482127,-0.384894937,0.659477789,0.756443355,-0.398469156,0.274519103,0.865423437,-0.124819729,1.678889710,0.827994673,-0.178142014,1.673295054,0.977522556,-0.129087627,1.670137050,0.871474219,-0.280167508,1.654285714,0.108000000,-0.883000000,2.351000000,0.871782343,-0.251340087,1.533832992,0.108000000,-0.883000000,2.351000000,0.872474678,-0.060397499,1.520358894,0.716729806,0.029169434,1.302692583,0.489141380,0.091133142,1.168485361,0.871089960,-0.442282632,1.547307090,0.735153493,-0.435316909,1.300061430,0.497043794,-0.411601026,1.172044439,0.751367315,-0.195489004,1.077976734,
1763636844.439287186,0.820672443,-0.130354907,1.648320121,0.731947534,-0.140894729,0.648522331,0.757931059,-0.095155257,0.266927078,0.751863366,-0.369593829,1.092557389,0.754275716,-0.384835542,0.659478007,0.756141960,-0.398385832,0.274516895,0.865404399,-0.124844017,1.678857097,0.828009754,-0.178189181,1.673257982,0.977505783,-0.129042070,1.670120965,0.871554142,-0.280186748,1.654256970,0.108000000,-0.883000000,2.351000000,0.871827792,-0.251311965,1.533834751,0.108000000,-0.883000000,2.351000000,0.872535368,-0.060370309,1.520357253,0.716851736,0.029187062,1.302647134,0.489219376,0.091109522,1.168501332,0.871120165,-0.442253572,1.547312250,0.735191728,-0.435272801,1.300066022,0.497025622,-0.411539554,1.172163583,0.751314570,-0.195460462,1.077991337,
1763636844.441014290,0.820662488,-0.130407642,1.648278960,0.731809036,-0.140833257,0.648543712,0.757715617,-0.095076880,0.266944102,0.751764100,-0.369561323,1.092560370,0.754069734,-0.384776271,0.659478225,0.755841192,-0.398302682,0.274514692,0.865385401,-0.124868254,1.678824551,0.828024804,-0.178236250,1.673220988,0.977489044,-0.128996607,1.670104915,0.871633899,-0.280205948,1.654228287,0.108000000,-0.883000000,2.351000000,0.871873147,-0.251283901,1.533836507,0.108000000,-0.883000000,2.351000000,0.872595931,-0.060343176,1.520355616,0.716973413,0.029204652,1.302601779,0.489297210,0.091085952,1.168517269,0.871150308,-0.442224573,1.547317399,0.735229884,-0.435228784,1.300070605,0.497007487,-0.411478210,1.172282479,0.751261934,-0.195431979,1.078005909,
1763636844.443153381,0.820652530,-0.130460395,1.648237785,0.731670490,-0.140771764,0.648565101,0.757500101,-0.094998476,0.266961133,0.751664799,-0.369528807,1.092563353,0.753863680,-0.384716979,0.659478443,0.755540319,-0.398219502,0.274512487,0.865366396,-0.124892500,1.678791994,0.828039859,-0.178283335,1.673183980,0.977472300,-0.128951128,1.670088858,0.871713683,-0.280225154,1.654199593,0.108000000,-0.883000000,2.351000000,0.871918517,-0.251255828,1.533838263,0.108000000,-0.883000000,2.351000000,0.872656515,-0.060316033,1.520353978,0.717095132,0.029222249,1.302556409,0.489375071,0.091062373,1.168533212,0.871180461,-0.442195564,1.547322549,0.735268053,-0.435184752,1.300075190,0.496989346,-0.411416844,1.172401417,0.751209281,-0.195403486,1.078020486,
1763636844.445114613,0.820642579,-0.130513112,1.648196638,0.731532040,-0.140710314,0.648586475,0.757284734,-0.094920126,0.266978152,0.751565566,-0.369496313,1.092566333,0.753657770,-0.384657728,0.659478660,0.755239656,-0.398136381,0.274510285,0.865347404,-0.124916729,1.678759459,0.828054904,-0.178330388,1.673146998,0.977455567,-0.128905681,1.670072813,0.871793412,-0.280244347,1.654170919,0.108000000,-0.883000000,2.351000000,0.871963856,-0.251227773,1.533840018,0.108000000,-0.883000000,2.351000000,0.872717057,-0.060288910,1.520352341,0.717216767,0.029239834,1.302511070,0.489452878,0.091038811,1.168549144,0.871210593,-0.442166574,1.547327696,0.735306195,-0.435140751,1.300079771,0.496971218,-0.411355521,1.172520271,0.751156664,-0.195375013,1.078035053,
1763636844.447572708,0.820632710,-0.130565388,1.648155835,0.731394745,-0.140649377,0.648607671,0.757071164,-0.094842430,0.266995029,0.751467162,-0.369464090,1.092569289,0.753453577,-0.384598972,0.659478876,0.754941500,-0.398053953,0.274508101,0.865328570,-0.124940756,1.678727196,0.828069823,-0.178377048,1.673110324,0.977438974,-0.128860613,1.670056902,0.871872475,-0.280263380,1.654142485,0.108000000,-0.883000000,2.351000000,0.872008817,-0.251199953,1.533841758,0.108000000,-0.883000000,2.351000000,0.872777094,-0.060262012,1.520350718,0.717337386,0.029257272,1.302466110,0.489530035,0.091015445,1.168564943,0.871240474,-0.442137827,1.547332800,0.735344019,-0.435097117,1.300084314,0.496953241,-0.411294710,1.172638135,0.751104486,-0.195346777,1.078049499,
1763636844.449359894,0.820622749,-0.130618160,1.648114646,0.731256151,-0.140587863,0.648629067,0.756855573,-0.094763999,0.267012065,0.751367826,-0.369431562,1.092572272,0.753247452,-0.384539660,0.659479093,0.754640523,-0.397970745,0.274505896,0.865309559,-0.124965010,1.678694628,0.828084883,-0.178424149,1.673073304,0.977422224,-0.128815119,1.670040840,0.871952287,-0.280282593,1.654113781,0.108000000,-0.883000000,2.351000000,0.872054203,-0.251171870,1.533843514,0.108000000,-0.883000000,2.351000000,0.872837699,-0.060234860,1.520349080,0.717459148,0.029274875,1.302420724,0.489607923,0.090991858,1.168580891,0.871270638,-0.442108807,1.547337953,0.735382201,-0.435053070,1.300088900,0.496935093,-0.411233323,1.172757114,0.751051814,-0.195318274,1.078064081,
1763636844.451529026,0.820612785,-0.130670943,1.648073447,0.731117525,-0.140526334,0.648650468,0.756639932,-0.094685549,0.267029106,0.751268468,-0.369399026,1.092575256,0.753041279,-0.384480334,0.659479311,0.754339476,-0.397887517,0.274503690,0.865290543,-0.124989270,1.678662052,0.828099947,-0.178471261,1.673036275,0.977405470,-0.128769614,1.670024774,0.872032118,-0.280301811,1.654085071,0.108000000,-0.883000000,2.351000000,0.872099600,-0.251143780,1.533845271,0.108000000,-0.883000000,2.351000000,0.872898319,-0.060207702,1.520347441,0.717580937,0.029292482,1.302375327,0.489685829,0.090968266,1.168596843,0.871300808,-0.442079781,1.547343106,0.735420392,-0.435009013,1.300093487,0.496916942,-0.411171922,1.172876120,0.750999130,-0.195289765,1.078078667,
1763636844.453798294,0.820602636,-0.130724704,1.648031485,0.730976332,-0.140463667,0.648672266,0.756420299,-0.094605647,0.267046461,0.751167270,-0.369365888,1.092578296,0.752831289,-0.384419909,0.659479533,0.754032856,-0.397802749,0.274501444,0.865271175,-0.125013979,1.678628873,0.828115289,-0.178519246,1.672998560,0.977388406,-0.128723267,1.670008411,0.872113426,-0.280321384,1.654055830,0.108000000,-0.883000000,2.351000000,0.872145837,-0.251115170,1.533847061,0.108000000,-0.883000000,2.351000000,0.872960060,-0.060180041,1.520345772,0.717704981,0.029310416,1.302329090,0.489765177,0.090944237,1.168613091,0.871331537,-0.442050217,1.547348355,0.735459290,-0.434964140,1.300098159,0.496898454,-0.411109384,1.172997330,0.750945470,-0.195260727,1.078093522,
