time,h_min,d_min,trajectory_error,pos_ee_x,pos_ee_y,pos_ee_z,vel_ee_x,vel_ee_y,vel_ee_z,v_rel_min,scaling
1763636823.831099033,0.446165513,0.785495275,0.018769020,-0.040660495,-0.113743266,1.362238566,0.035304533,-0.011101256,-0.025037451,-0.547543687,0.999972358,
1763636823.834897518,0.455460478,0.787608951,0.018782570,-0.040589020,-0.113765665,1.362188144,0.036170798,-0.011297991,-0.025384134,-0.524616002,0.999972647,
1763636823.837045908,0.463461962,0.789439796,0.018795336,-0.040515861,-0.113788460,1.362137010,0.036988461,-0.011497329,-0.025749450,-0.504827438,0.999972810,
1763636823.838903904,0.471226624,0.791223627,0.018807483,-0.040441105,-0.113811656,1.362085131,0.037767474,-0.011698837,-0.026129502,-0.485561200,0.999972869,
1763636823.841300964,0.479537308,0.793139598,0.018819139,-0.040364822,-0.113835257,1.362032480,0.038515774,-0.011902172,-0.026521183,-0.464852488,0.999972845,
1763636823.843735218,0.487915480,0.795080263,0.018830406,-0.040287066,-0.113859266,1.361979037,0.039239687,-0.012107063,-0.026922014,-0.443895096,0.999972752,
1763636823.846473455,0.495816772,0.796919971,0.018841368,-0.040207882,-0.113883687,1.361924785,0.039944261,-0.012313295,-0.027330014,-0.424066571,0.999972605,
1763636823.847990751,0.504321579,0.798909328,0.018852089,-0.040127305,-0.113908521,1.361869711,0.040633517,-0.012520699,-0.027743604,-0.402631253,0.999972413,
1763636823.850360394,0.511029368,0.800487318,0.018862622,-0.040045360,-0.113933770,1.361813806,0.041310666,-0.012729144,-0.028161524,-0.385698276,0.999972185,
1763636823.852083921,0.517715193,0.802066329,0.018873008,-0.039962072,-0.113959438,1.361757062,0.041978265,-0.012938523,-0.028582764,-0.368767492,0.999971927,
1763636823.853974104,0.524413871,0.803654717,0.018883281,-0.039877455,-0.113985525,1.361699472,0.042638358,-0.013148757,-0.029006521,-0.351749755,0.999971647,
1763636823.856169939,0.531236920,0.805279220,0.018893467,-0.039791524,-0.114012034,1.361641033,0.043292574,-0.013359783,-0.029432148,-0.334357650,0.999971347,
1763636823.858381033,0.538958803,0.806856297,0.018903586,-0.039704290,-0.114038965,1.361581742,0.043942211,-0.013571552,-0.029859132,-0.326532316,0.999971031,
1763636823.860316277,0.549195978,0.808339815,0.018913656,-0.039615759,-0.114066320,1.361521596,0.044588308,-0.013784027,-0.030287059,-0.333672711,0.999970703,
