number,values_0,values_1,params_lambda1,params_lambda2,params_lambda3,state
67,0.37677488167455503,0.024746541661155474,0.32748905628526115,0.03318935077016115,0.007046875184932637,COMPLETE
68,0.3417105526298247,0.01937645996886178,5.704080248369214,83.31235316702536,3.829906924417785,COMPLETE
69,0.35004333044463704,0.018565565114395815,529.715047932333,786.8704915521037,47.04561462992371,COMPLETE
70,0.3209119392040531,0.03649461346946804,6057.363817145152,0.05476651067835111,4.154483407260331,COMPLETE
71,0.32224518365442306,0.018420664763735727,0.010905525417840532,15.459220946183002,0.0015057893955159486,COMPLETE
72,0.3365775614959003,0.02624833535337486,24.050921934662952,1.8271015453452275,25.79957623894393,COMPLETE
73,0.33244450369975337,0.025083653151638696,14.832060949143495,10.9230607781166,54.75499909617034,COMPLETE
74,0.34417705486300915,0.018147593692529947,0.015563253404008598,0.23729701689672927,0.019931282516533828,COMPLETE
75,0.3153789747350177,0.023510529642513905,96.872153577628,0.23187649562034626,0.23313951362062246,COMPLETE
76,0.34984334377708154,0.082826208407101,2233.939320946632,0.004037556055155553,27.700064769278395,COMPLETE
77,0.3561095926938204,0.01745505476372453,8.378233375888628,0.0345751998849392,0.000279559433453549,COMPLETE
78,0.3531764549030065,0.02123697722540383,67.65063522067344,9.094226364747133,0.005668789659110888,COMPLETE
79,0.3423105126324912,0.024582513603175433,1.1035572230214312,0.009655155551604391,0.0004881447564859697,COMPLETE
80,0.32757816145590296,0.021765505189722582,86.33625383720414,14.301239154717221,0.002477350416035789,COMPLETE
81,0.32871141923871744,0.023063126063164782,1.7665262839663332,85.18878419501763,0.013947443002263747,COMPLETE
82,0.3409772681821212,0.028049161522162507,275.26409798060524,0.0460343044685777,20.40582689184429,COMPLETE
83,0.3264449036730885,0.019850949867066224,15.538698832631345,107.00518693948138,1.9195034253879626,COMPLETE
84,0.34817678821411907,0.024162138611961426,7770.647264440213,675.4397951561089,1.7168258157745666,COMPLETE
85,0.3567095526964869,0.05554122231241588,384.60378477590393,0.0018624612770867563,0.0027866740652998873,COMPLETE
86,0.351776548230118,0.025069149696709345,0.11992208029488345,0.012657790572858008,0.3495442183447877,COMPLETE
87,0.3405772948470102,0.017932772859635987,0.6443508644192969,0.0501626519303105,40.02687446455645,COMPLETE
88,0.3635757616158923,0.024843633161752296,0.033530160779716496,91.1005171757456,0.0016572613739615862,COMPLETE
89,0.3684421038597427,0.017515908576718395,0.1356106356117382,0.003874417115169112,0.5791705144598926,COMPLETE
90,0.352309846010266,0.018867032968063538,0.11992208029488345,0.012657790572858008,0.2039819663925662,COMPLETE
91,0.3295113659089394,0.020258243475871456,17.48104162520475,10.398636968447518,0.0004347285493324979,COMPLETE
92,0.3583761082594494,0.020123758755323618,1.3419257266613198,0.3938752091020648,1.343234278346027,COMPLETE
93,0.3473101793213786,0.02175712999729253,265.12151038057925,8.05250606137426,9.325014295204094,COMPLETE
94,0.36610892607159523,0.018921337575971683,0.6784989975346336,183.37385652133526,0.014101422263242035,COMPLETE
95,0.325578294780348,0.017097124597999964,0.4738750019317057,0.0028366034911346746,27.440789817741177,COMPLETE
96,0.3418438770748617,0.022914327580606738,3.8177615830976683,0.0028366034911346746,0.00021658725916375192,COMPLETE
97,0.34397706819545365,0.02567886105770744,0.11992208029488345,0.1883274393314463,0.0001675370705004419,COMPLETE
98,0.35504299713352444,0.024052313090496415,2.1193126192231095,0.0460343044685777,0.002776761836693331,COMPLETE
99,0.33404439704019734,0.015030854177726856,0.6784989975346336,0.003874417115169112,0.5791705144598926,COMPLETE
100,0.36084261049263383,0.02123241238145664,36.69142648929216,0.010278560068641458,0.06723934810240918,COMPLETE
101,0.32711152589827347,0.018092952384369587,0.12475165336805108,0.023049437518303,0.004907888614935502,COMPLETE
102,0.33357776148256785,0.027106227253329708,0.0523473998786699,0.005994938510992763,0.01137300978921462,COMPLETE
103,0.33344443703753085,0.01752511862408375,100.10459551305067,878.2745080966192,0.5791705144598926,COMPLETE
104,0.36030931271248584,0.01581318673354295,0.29666630004709366,0.002848117294377246,0.0002550065817879624,COMPLETE
105,0.3523765082327845,0.026963664733067095,0.6365843730955881,2.80304300138271,0.09273986488175702,COMPLETE
106,0.35944270381974536,0.018610997955022506,873.1526177571769,0.11755009196745579,4.4851952500349945,COMPLETE
107,0.32364509032731154,0.019487154662240283,546.5142075878846,1.0459589352239622,0.2039819663925662,COMPLETE
108,0.33944403706419574,0.020166368096638042,0.9312690885966353,433.10880809149404,0.011285236279223778,COMPLETE
109,0.35417638824078396,0.018044014497817715,190.98263539189642,1.195419266497761,0.021141173098034063,COMPLETE
110,0.34431037930804614,0.02325234927149977,3.1151049053498285,0.003874417115169112,0.00023246328022569156,COMPLETE
111,0.33864409039397375,0.021768316073584978,0.02775569982011368,0.6656703044002312,0.0004039237048194089,COMPLETE
112,0.377041530564629,0.08054207727843526,8669.88715345849,0.004716459383914133,5.11844744614606,COMPLETE
113,0.350709952669822,0.017905946056321658,50.16602960608112,46.30832603329559,10.150127813922811,COMPLETE
114,0.33811079261382576,0.01507118905618167,37.903947588888904,414.9797085529152,0.00020510138688257878,COMPLETE
115,0.33897740150656624,0.030618762036327633,2740.7340047017933,0.0460343044685777,0.002776761836693331,COMPLETE
116,0.3473101793213786,0.026274157916747504,129.07367297601618,0.004999800239819827,0.002321377368166416,COMPLETE
117,0.3533097793480435,0.021992087713530725,0.11992208029488345,156.18024615762775,0.00020510138688257878,COMPLETE
118,0.3479101393240451,0.023468155561530243,23.046983261333185,10.398636968447518,0.013527535818052487,COMPLETE
119,0.3421105259649357,0.027932515867926718,7770.647264440213,0.5487631103920776,0.1433578931598031,COMPLETE
120,0.3348443437104193,0.02658589675325829,0.01266823364506068,0.011818266667056865,4.042361855798847,COMPLETE
121,0.32297846810212655,0.02192159831993701,0.13391786142785395,138.51576670291945,0.011285236279223778,COMPLETE
122,0.36610892607159523,0.02175016065221224,0.13414461060654786,226.19690988518522,0.20105092646021125,COMPLETE
123,0.3573761749216719,0.023852621099976126,4090.4250562243838,53.212084167111065,0.5791705144598926,COMPLETE
124,0.351643223785081,0.022089800939775417,0.5981288363012754,3.459133958823272,4.323899905268341,COMPLETE
125,0.34904339710685955,0.0174498755630651,6004.808881507084,88.43654989015602,0.00025348952963643294,COMPLETE
126,0.3529098060129325,0.058635688912737884,456.31520109530413,0.0022794295629377953,0.002321377368166416,COMPLETE
