number,values_0,values_1,params_lambda1,params_lambda3,state
107,0.0,0.07511623343420903,16.404334753100382,6.505594000042856,COMPLETE
108,0.0,0.06825267364389272,0.0823774935982339,1.0919593558313756,COMPLETE
109,0.0,0.0731477113127304,5.468209178817078,0.00042671146486399135,COMPLETE
110,0.0,0.06765146431492051,5.410963465355921,94.7155176854975,COMPLETE
111,0.0,0.07366782171315094,3.3763508319201603,2.8568377367341515,COMPLETE
112,0.0,0.057240743790044825,2525.2992654679647,0.00036547109216545216,COMPLETE
113,0.0,0.0790072072214166,6052.7332849440345,0.1081928938117169,COMPLETE
114,0.0,0.07606686408293482,0.033108061315623466,2.3071607818234807,COMPLETE
115,0.0,0.0674439798491979,120.23753975016412,0.00036959494347425743,COMPLETE
116,0.0,0.07749046851668848,35.04670414572725,0.03809293852379196,COMPLETE
117,0.0,0.07439371840927263,0.6525572493615062,0.020773983623534522,COMPLETE
118,0.0,0.07703061264135687,10.307263069209377,0.11087240093548927,COMPLETE
119,0.0,0.07921242845352577,0.019124466336413938,0.252901262000926,COMPLETE
120,0.0,0.06916248023353981,3.6670946760424137,69.28355686897564,COMPLETE
121,0.0,0.07322777323342079,41.56070238403375,0.006159972423348942,COMPLETE
122,0.0,0.076741603200647,1.7300444518561904,0.003982194989942686,COMPLETE
123,0.0,0.06812330162538803,40.16306020688071,0.00020169031320639076,COMPLETE
124,0.0,0.07092500957016173,178.61703134586566,0.17457468596711928,COMPLETE
125,0.0,0.06849174581613302,1845.1039598843092,5.813122967646072,COMPLETE
126,0.0,0.07230116354949945,3.6670946760424137,0.0022813939542548544,COMPLETE
127,0.0,0.07394693765840976,0.018901911159798987,0.1152714177977498,COMPLETE
128,0.0,0.07152991535868326,3.816514400733927,6.913735037717307,COMPLETE
129,0.0,0.08248866891651886,809.1791309266355,0.015017532020814798,COMPLETE
130,0.0,0.07017495255728019,0.14175848225886795,0.15553173104173865,COMPLETE
131,0.0,0.07848157818884666,16.404334753100382,0.21523699382362713,COMPLETE
132,0.0,0.0710930835881343,3.6670946760424137,0.007987577931521262,COMPLETE
133,0.0,0.0757120377505196,2654.404033969712,0.3238912239237897,COMPLETE
134,0.0,0.06981976925139642,1.5883244127695224,0.00029181087285573223,COMPLETE
135,0.0,0.07273839704363412,623.1277425322068,0.009295220297708282,COMPLETE
136,0.0,0.07560014913274685,12.645198252766859,0.00017205335451432493,COMPLETE
