number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda3,state
53,0.07635,0.18514245419397365,3.3344606159624472,1.3606116871448248,3.535358619335088,73.8160652358767,COMPLETE
54,0.0753,0.19444608386960213,2.829805034921895,1.5651528483778223,0.03323162261792681,0.7495052001284879,COMPLETE
55,0.08775,0.21331296405350864,3.8579478727222294,2.066452540088676,14.208752046496574,25.28624152277267,COMPLETE
56,0.079,0.18505381539202534,1.6631403188898242,1.4809815068054901,25.854852193367364,0.5934734598510701,COMPLETE
57,0.09725,0.35714297587422583,0.5833128116946337,9.840804570484812,0.028660418562744337,0.25306962850359427,COMPLETE
58,0.1287,0.3625208621479097,0.8329426419821616,4.3730641590615855,0.044568925976587806,0.10257012244723256,COMPLETE
59,0.09545,0.5732427837141754,5.939170481881678,8.053117581805795,0.747253043227065,4.8269015675922065,COMPLETE
60,0.1128,0.555639442481592,3.5292205186109387,3.540828116656344,256.4915806564701,0.024952099803240622,COMPLETE
61,0.0801,0.461027694932096,7.386495200771071,1.8145138315019835,28.623301091967512,0.04841802788233872,COMPLETE
62,0.0706,0.3544021154972219,5.827113301687939,1.3296769002026185,343.73057923520304,1.4141176649591676,COMPLETE
63,0.09895,0.550663625893814,5.381858702293355,7.451337432117496,0.4111694316312813,0.762764451422855,COMPLETE
64,0.09755,0.5738985390469734,6.998570432374837,5.950827672861153,0.01333967025299093,0.7306953052604724,COMPLETE
65,0.0819,0.1905780388797471,1.544342930433876,1.8438446347179427,8.141140687355298,2.126688718315185,COMPLETE
66,0.1009,0.3754156348468154,2.9749567558335412,1.699503393970215,1682.5822245299014,1.394744750596564,COMPLETE
67,0.11755,0.18622160097069207,0.5494987785238856,1.1426889750198737,174.77343181630346,0.042472683269881996,COMPLETE
68,0.07305,0.15957087482475474,4.6345873632545755,1.256494764232378,0.022372710947910237,1.0922965381844774,COMPLETE
69,0.0929,0.5159635655338811,4.305982618086691,3.026166894157264,3.1350789894471887,0.011749550410459862,COMPLETE
70,0.10715,0.6458405188167113,6.973898707063055,7.508812096467525,0.16590259730141543,0.40927508607969953,COMPLETE
71,0.11275,0.4656147915671778,1.938926106932242,9.087460543413709,13.75327318980228,0.37117658881977084,COMPLETE
72,0.0943,0.4403957643870198,4.378011050526785,7.447988967750218,0.09403747535706525,0.7202429180445923,COMPLETE
73,0.1201,0.7255730689068632,1.441782102972152,8.928904969540103,2758.2044299778786,1.1455582253601304,COMPLETE
74,0.0959,0.4161477175885926,3.639272469369107,6.326492498759037,27.70945767369785,83.59765042416015,COMPLETE
75,0.1218,0.5596825705908971,3.2342614694771625,7.716956152431088,0.3991416433153113,0.02905967905537422,COMPLETE
76,0.1154,0.22167306921984373,0.3714326954978988,2.4668205712459903,0.030928630484786532,0.06878385694851079,COMPLETE
77,0.09005,0.3267128337235466,5.34350018162054,2.8320734546831314,13.522510295487697,2.1102891532478085,COMPLETE
78,0.11115,0.5514218246383182,1.885070427035611,3.0352039660395387,6755.71174442274,0.725005173883511,COMPLETE
79,0.09265,0.26121506119280696,4.714594625564984,2.69896767279987,0.05638738336150601,1.586419580993275,COMPLETE
80,0.11285,0.5768618093323867,3.5767663211188676,3.4403790761011215,143.68539701649053,0.040693828980036345,COMPLETE
81,0.1179,0.20452645419270862,1.7534124611447541,1.0250716565946363,796.9638522730953,13.21076902376178,COMPLETE
