number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda2,params_lambda3,params_lambda4,state
47,0.06875,0.47330276863252346,5.772100366242379,3.2243370920705345,62.43778013936985,11.739481102126906,3.616911213787438,1.1993391736258183e-07,COMPLETE
48,0.0667,0.27365198942634394,5.720174263997889,3.124044679655519,430.1723517706057,38.169107570273646,1.1918137946358598,0.0005591468606024808,COMPLETE
49,0.0917,0.55046120029273,0.4481830202136664,3.704293036164666,234.1759843067098,0.7088896216016938,0.028478668882310734,7.286044737608009e-14,COMPLETE
50,0.07525,0.675598392487916,3.046425174476959,8.528259812725711,0.06483803734091015,4.703038707832875,0.027371668774221813,2.450464818207948e-13,COMPLETE
51,0.041,0.22838870921625704,2.056316300425298,1.4234508712843703,0.019607071158490193,0.08461218904615202,1.4298640803911997,1.9043961097477443e-12,COMPLETE
52,0.0489,0.44662625507022347,3.7523591558107,2.2991799521485987,0.016767417635497637,110.16646134717259,2.606433764399818,1.7411112824373338e-14,COMPLETE
53,0.06,0.45151961126102924,5.826108180232255,3.812714163562798,0.18468504546596953,18.78996109757449,67.49308648755478,1.621364679176634e-08,COMPLETE
54,0.08235,0.1557890317821607,6.265193910099987,2.9739095903883492,3.2182245813333146,0.002129534924493161,0.8723677219983216,5.061876736904231e-05,COMPLETE
55,0.0831,0.13888129379584088,5.602304976898302,1.9152614113385427,34.84668501217958,0.0032415559561679587,0.1882745248925944,0.00025257083623944653,COMPLETE
56,0.0745,0.6539398239961509,4.0288453445846075,8.478177965520532,1135.382901382982,42.70120256972856,3.169321911008551,6.65310312829754e-10,COMPLETE
57,0.0612,0.05753649497661445,0.5063399433579743,1.2695753192851997,52.36831247427109,1.7697856600899273,0.012026165201382855,0.0001622305252454136,COMPLETE
58,0.0801,0.7216672345781882,5.719667260978259,6.875144787901625,208.22607295194175,0.1013397086496358,0.01777158201797886,3.787929895519139e-07,COMPLETE
59,0.06645,0.10126896704951305,4.518466275032232,2.49884558911187,4.132489577574883,0.38615709564740774,0.06783831483310307,0.0021075211719479765,COMPLETE
60,0.0955,0.4496988602120825,3.633353179534705,7.96562187012117,98.52806040508558,0.01563257749900532,18.26446872949811,1.1552104531007875e-06,COMPLETE
61,0.0803,0.5724183297526516,5.153252078210358,1.9357655248265,47.980660893128146,0.03917245689918758,0.05443353909037391,1.2095801176789854e-08,COMPLETE
62,0.089,0.40181485218041274,1.838696465707468,1.9948459181260763,1.7354775389945025,0.0013651437628319377,0.6379139708716574,2.0985840686198957e-10,COMPLETE
63,0.0962,0.5817418143951801,5.517510356123355,8.499879978230554,3.425315750097962,427.6569169998095,3.3277545391548413,1.3193301169056947e-09,COMPLETE
64,0.06965,0.3766763750123842,6.607480695539774,2.1162570949421986,2089.9479281685244,70.29787676452851,19.255128356552483,1.8634184378207385e-12,COMPLETE
65,0.07495,0.20600663599818791,6.565598861860442,6.466003773039777,99.87210090317613,6.560437321593513,0.04640000916234496,4.60436577856132e-05,COMPLETE
66,0.0932,0.11929440782180045,5.668778433186425,2.5655554837238235,2.4644160844515395,2.2114275739345297,6.897706836053831,0.0016463878135594917,COMPLETE
67,0.06565,0.13106628351684144,0.5739350022269911,1.2561404555212872,0.020242445118125636,0.009397597333600731,97.90317816252079,1.5291368922935013e-07,COMPLETE
68,0.06005,0.5695269510584788,5.795700438441241,3.5815746147809353,0.5876211069794411,0.0018443879579857288,20.354337917403317,2.9701233594309776e-13,COMPLETE
69,0.07675,0.45963624938250985,2.26326540740811,2.3060403333942627,0.011978017688293503,519.663252979791,7.942806994361968,1.972908233938584e-06,COMPLETE
70,0.07635,0.26281914947452,4.789416836315397,6.902113493998177,0.09898959994666723,314.3086903066831,1.3421801423904562,0.0006673330999898967,COMPLETE
71,0.03485,0.052368821138875775,1.944491500929412,1.4158855092326221,38.62374046049556,60.9799412807221,0.03132633725766926,0.00012276926073447538,COMPLETE
72,0.08945,0.09101851664599016,4.000283887299467,4.3251702540042425,0.01944470694604131,5.215406916198433,0.217543815862813,0.003067632717154559,COMPLETE
73,0.1034,0.6550763925284777,6.201748848941063,4.379338834235712,7520.25114781372,0.00564697493728511,0.1199582174697197,5.048529700932676e-13,COMPLETE
74,0.0858,0.11795637858476275,2.54822336445131,4.223808057954392,3643.8179232517887,0.3299509137902487,19.270973861650734,0.0007274958770863528,COMPLETE
75,0.0804,0.6288994088163112,4.380097766484368,4.263352009040283,5.2456162701390046,0.0025567050491763763,0.022410480632068453,5.492820616754559e-08,COMPLETE
76,0.07265,0.15814649136100678,7.129904066808173,7.634274696868772,0.12946332257823562,0.005668703277219061,3.0434266479702474,0.005410756747567954,COMPLETE
77,0.04995,0.20247639615877003,2.566070026723285,1.000038594092932,0.2719067041472141,1.445544328193187,0.21742538337508435,1.8720967620512166e-13,COMPLETE
78,0.087,0.11648215142693616,3.5421866654375322,4.699209039895299,81.4421830558505,0.19624193100642798,97.30913065650628,0.0006171279037800276,COMPLETE
79,0.0664,0.5026145714732034,3.7523591558107,2.5667299278096025,0.016767417635497637,110.16646134717259,2.606433764399818,9.152354487403374e-07,COMPLETE
80,0.0948,0.7825654327248736,6.943625321882633,5.751620494688234,3090.9457533461396,0.004569612957571183,14.732118064935978,3.0092675819548274e-09,COMPLETE
81,0.06045,0.08988514185850478,6.943625321882633,1.278900300298122,0.27330711513507566,326.86510637744203,0.8905073895997795,0.0018760557069445595,COMPLETE
82,0.0818,0.5529217025119837,5.720174263997889,9.803171767146052,3.5791928574770338,0.12480776742786713,1.1918137946358598,8.720647859508846e-11,COMPLETE
83,0.05875,0.3986404985937536,4.335111916469993,2.5033277105189193,0.5606287050152496,0.054361423084864746,7.146903739304916,7.242135537625552e-11,COMPLETE
84,0.06,0.4264162628618724,0.33942405479698123,5.92917196696572,0.016767417635497637,0.021875706805845035,2.606433764399818,1.7411112824373338e-14,COMPLETE
85,0.04955,0.34693614327179045,5.07985354852306,1.5455685639813577,62.43778013936985,53.06163757643024,0.07549604599441283,4.443488697213951e-11,COMPLETE
